Country,Afghanistan,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.81
Country,Albania,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.62
Country,Algeria,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.65
Country,Argentina,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.99
Country,Armenia,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.75
Country,Australia,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,3.25
Country,Austria,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,3.15
Country,Azerbaijan,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,3.09
Country,Bangladesh,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,3.12
Country,Belarus,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.92
Country,Belgium,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,3.32
Country,Benin,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.52
Country,Bolivia,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.62
Country,Bosnia Herzegovina,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.59
Country,Botswana,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.84
Country,Brazil,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.77
Country,Bulgaria,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.87
Country,Burkina Faso,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.78
Country,Burundi,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.65
Country,Cambodia,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,3.02
Country,Cameroon,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.74
Country,Canada,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,3.19
Country,Chad,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.63
Country,Chile,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,2.83
Country,China,Chart 3.3,Chart 3.3: Map of countries according to levels of Trust in Scientists,"Percentage of people who answered ‘high trust’, ‘medium trust’ or ‘low trust’",Wellcome Global Monitor Trust in Scientists Index,Country Average Index Score,3.15
