Country,Afghanistan,Chart 5.4,Chart 5.4: Scatterplot exploring people’s perception of vaccine safety and vaccine effectiveness,Percentage of people who answered ‘disagree’,"Do you agree, disagree, or neither agree nor disagree with the following statements? Vaccines are effective. Vaccines are safe",Strongly or somewhat disagree that vaccines are safe,5%,Disagree that vaccines are effective,2%
Country,Albania,Chart 5.4,Chart 5.4: Scatterplot exploring people’s perception of vaccine safety and vaccine effectiveness,Percentage of people who answered ‘disagree’,"Do you agree, disagree, or neither agree nor disagree with the following statements? Vaccines are effective. Vaccines are safe",Strongly or somewhat disagree that vaccines are safe,16%,Disagree that vaccines are effective,9%
Country,Algeria,Chart 5.4,Chart 5.4: Scatterplot exploring people’s perception of vaccine safety and vaccine effectiveness,Percentage of people who answered ‘disagree’,"Do you agree, disagree, or neither agree nor disagree with the following statements? Vaccines are effective. Vaccines are safe",Strongly or somewhat disagree that vaccines are safe,12%,Disagree that vaccines are effective,8%
Country,Argentina,Chart 5.4,Chart 5.4: Scatterplot exploring people’s perception of vaccine safety and vaccine effectiveness,Percentage of people who answered ‘disagree’,"Do you agree, disagree, or neither agree nor disagree with the following statements? Vaccines are effective. Vaccines are safe",Strongly or somewhat disagree that vaccines are safe,5%,Disagree that vaccines are effective,3%
Country,Armenia,Chart 5.4,Chart 5.4: Scatterplot exploring people’s perception of vaccine safety and vaccine effectiveness,Percentage of people who answered ‘disagree’,"Do you agree, disagree, or neither agree nor disagree with the following statements? Vaccines are effective. Vaccines are safe",Strongly or somewhat disagree that vaccines are safe,21%,Disagree that vaccines are effective,12%
Country,Australia,Chart 5.4,Chart 5.4: Scatterplot exploring people’s perception of vaccine safety and vaccine effectiveness,Percentage of people who answered ‘disagree’,"Do you agree, disagree, or neither agree nor disagree with the following statements? Vaccines are effective. Vaccines are safe",Strongly or somewhat disagree that vaccines are safe,7%,Disagree that vaccines are effective,4%
Country,Austria,Chart 5.4,Chart 5.4: Scatterplot exploring people’s perception of vaccine safety and vaccine effectiveness,Percentage of people who answered ‘disagree’,"Do you agree, disagree, or neither agree nor disagree with the following statements? Vaccines are effective. Vaccines are safe",Strongly or somewhat disagree that vaccines are safe,21%,Disagree that vaccines are effective,11%
Country,Azerbaijan,Chart 5.4,Chart 5.4: Scatterplot exploring people’s perception of vaccine safety and vaccine effectiveness,Percentage of people who answered ‘disagree’,"Do you agree, disagree, or neither agree nor disagree with the following statements? Vaccines are effective. Vaccines are safe",Strongly or somewhat disagree that vaccines are safe,12%,Disagree that vaccines are effective,8%
Country,Bangladesh,Chart 5.4,Chart 5.4: Scatterplot exploring people’s perception of vaccine safety and vaccine effectiveness,Percentage of people who answered ‘disagree’,"Do you agree, disagree, or neither agree nor disagree with the following statements? Vaccines are effective. Vaccines are safe",Strongly or somewhat disagree that vaccines are safe,1%,Disagree that vaccines are effective,0%
Country,Belarus,Chart 5.4,Chart 5.4: Scatterplot exploring people’s perception of vaccine safety and vaccine effectiveness,Percentage of people who answered ‘disagree’,"Do you agree, disagree, or neither agree nor disagree with the following statements? Vaccines are effective. Vaccines are safe",Strongly or somewhat disagree that vaccines are safe,15%,Disagree that vaccines are effective,10%
Country,Belgium,Chart 5.4,Chart 5.4: Scatterplot exploring people’s perception of vaccine safety and vaccine effectiveness,Percentage of people who answered ‘disagree’,"Do you agree, disagree, or neither agree nor disagree with the following statements? Vaccines are effective. Vaccines are safe",Strongly or somewhat disagree that vaccines are safe,21%,Disagree that vaccines are effective,5%
Country,Benin,Chart 5.4,Chart 5.4: Scatterplot exploring people’s perception of vaccine safety and vaccine effectiveness,Percentage of people who answered ‘disagree’,"Do you agree, disagree, or neither agree nor disagree with the following statements? Vaccines are effective. Vaccines are safe",Strongly or somewhat disagree that vaccines are safe,14%,Disagree that vaccines are effective,7%
Country,Bolivia,Chart 5.4,Chart 5.4: Scatterplot exploring people’s perception of vaccine safety and vaccine effectiveness,Percentage of people who answered ‘disagree’,"Do you agree, disagree, or neither agree nor disagree with the following statements? Vaccines are effective. Vaccines are safe",Strongly or somewhat disagree that vaccines are safe,14%,Disagree that vaccines are effective,9%
Country,Bosnia Herzegovina,Chart 5.4,Chart 5.4: Scatterplot exploring people’s perception of vaccine safety and vaccine effectiveness,Percentage of people who answered ‘disagree’,"Do you agree, disagree, or neither agree nor disagree with the following statements? Vaccines are effective. Vaccines are safe",Strongly or somewhat disagree that vaccines are safe,8%,Disagree that vaccines are effective,6%
